"Дата","Статистика летальних випадків від коронавірусу в Україні","дельта"
2021-04-21,429,62
2021-04-22,470,41
2021-04-23,434,-36
2021-04-24,392,-42
2021-04-25,231,-161
2021-04-26,195,-36
2021-04-27,432,237
2021-04-28,441,9
2021-04-29,387,-54
2021-04-30,307,-80
2021-05-01,351,44
2021-05-02,160,-191
2021-05-03,154,-6
2021-05-04,166,12
2021-05-05,161,-5
2021-05-06,374,213
2021-05-07,379,5
2021-05-08,370,-9
2021-05-09,193,-177
2021-05-10,119,-74
2021-05-11,119,0
2021-05-12,356,237
2021-05-13,346,-10
2021-05-14,287,-59
2021-05-15,322,35
2021-05-16,133,-189
2021-05-17,109,-24
2021-05-18,285,176
2021-05-19,227,-58
2021-05-20,203,-24
2021-05-21,202,-1
2021-05-22,178,-24
2021-05-23,89,-89
2021-05-24,68,-21
2021-05-25,249,181
2021-05-26,208,-41
2021-05-27,183,-25
2021-05-28,156,-27
2021-05-29,156,0
2021-05-30,84,-72
2021-05-31,64,-20
2021-06-01,163,99
2021-06-02,158,-5
2021-06-03,102,-56
2021-06-04,95,-7
2021-06-05,86,-9
2021-06-06,42,-44
2021-06-07,33,-9
2021-06-08,118,85
2021-06-09,77,-41
2021-06-10,97,20
2021-06-11,70,-27
2021-06-12,69,-1
2021-06-13,33,-36
2021-06-14,13,-20
2021-06-15,77,64
2021-06-16,78,1
2021-06-17,55,-23
2021-06-18,50,-5
2021-06-19,40,-10
2021-06-20,24,-16
2021-06-21,16,-8
2021-06-22,21,5
2021-06-23,70,49
2021-06-24,58,-12
2021-06-25,53,-5
2021-06-26,35,-18
2021-06-27,17,-18
2021-06-28,9,-8
2021-06-29,5,-4
2021-06-30,40,35
2021-07-01,51,11
2021-07-02,33,-18
2021-07-03,36,3
2021-07-04,10,-26
2021-07-05,14,4
2021-07-06,20,6
2021-07-07,33,13
2021-07-08,23,-10
2021-07-09,12,-11
2021-07-10,20,8
2021-07-11,5,-15
2021-07-12,7,2
2021-07-13,36,29
2021-07-14,25,-11
2021-07-15,20,-5
2021-07-16,17,-3
2021-07-17,16,-1
2021-07-18,8,-8
2021-07-19,5,-3
2021-07-20,25,20
2021-07-21,13,-12
2021-07-22,21,8
2021-07-23,21,0
2021-07-24,24,3
2021-07-25,12,-12
2021-07-26,2,-10
2021-07-27,27,25
2021-07-28,15,-12
2021-07-29,25,10
2021-07-30,14,-11
2021-07-31,15,1
2021-08-01,6,-9
2021-08-02,4,-2
2021-08-03,26,22
2021-08-04,43,17
2021-08-05,25,-18
2021-08-06,16,-9
2021-08-07,20,4
2021-08-08,10,-10
2021-08-09,5,-5
2021-08-10,24,19
2021-08-11,25,1
2021-08-12,24,-1
2021-08-13,44,20
2021-08-14,21,-23
2021-08-15,17,-4
2021-08-16,14,-3
2021-08-17,27,13
2021-08-18,40,13
2021-08-19,32,-8
2021-08-20,26,-6
2021-08-21,38,12
2021-08-22,25,-13
2021-08-23,17,-8
2021-08-24,27,10
2021-08-25,20,-7
2021-08-26,45,25
2021-08-27,66,21
2021-08-28,54,-12
2021-08-29,34,-20
2021-08-30,18,-16
2021-08-31,51,33
2021-09-01,44,-7
2021-09-02,44,0
2021-09-03,45,1
2021-09-04,44,-1
2021-09-05,23,-21
2021-09-06,12,-11
2021-09-07,53,41
2021-09-08,60,7
2021-09-09,61,1
2021-09-10,76,15
2021-09-11,69,-7
2021-09-12,22,-47
2021-09-13,18,-4
2021-09-14,97,79
2021-09-15,93,-4
2021-09-16,101,8
2021-09-17,99,-2
2021-09-18,79,-20
2021-09-19,46,-33
2021-09-20,44,-2
2021-09-21,137,93
2021-09-22,105,-32
2021-09-23,123,18
2021-09-24,140,17
2021-09-25,133,-7
2021-09-26,69,-64
2021-09-27,94,25
2021-09-28,143,49
2021-09-29,217,74
2021-09-30,194,-23
2021-10-01,172,-22
2021-10-02,203,31
2021-10-03,126,-77
2021-10-04,114,-12
2021-10-05,317,203
2021-10-06,320,3
2021-10-07,314,-6
2021-10-08,241,-73
2021-10-09,250,9
2021-10-10,162,-88
2021-10-11,207,45
2021-10-12,352,145
2021-10-13,471,119
2021-10-14,412,-59
2021-10-15,202,-210
2021-10-16,277,75
2021-10-17,219,-58
2021-10-18,177,-42
2021-10-19,538,361
2021-10-20,495,-43
2021-10-21,546,51
2021-10-22,614,68
2021-10-23,483,-131
2021-10-24,386,-97
2021-10-25,330,-56
2021-10-26,734,404
2021-10-27,692,-42
2021-10-28,576,-116
2021-10-29,648,72
2021-10-30,541,-107
2021-10-31,336,-205
2021-11-01,298,-38
2021-11-02,700,402
2021-11-03,720,20
2021-11-04,699,-21
2021-11-05,696,-3
2021-11-06,793,97
2021-11-07,449,-344
2021-11-08,473,24
2021-11-09,833,360
2021-11-10,815,-18
2021-11-11,652,-163
2021-11-12,750,98
2021-11-13,695,-55
2021-11-14,403,-292
2021-11-15,442,39
2021-11-16,838,396
2021-11-17,769,-69
2021-11-18,752,-17
2021-11-19,725,-27
2021-11-20,664,-61
2021-11-21,377,-287
2021-11-22,326,-51
2021-11-23,720,394
2021-11-24,595,-125
2021-11-25,628,33
2021-11-26,608,-20
2021-11-27,568,-40
2021-11-28,400,-168
2021-11-29,297,-103
2021-11-30,561,264
2021-12-01,557,-4
2021-12-02,525,-32
2021-12-03,509,-16
2021-12-04,436,-73
2021-12-05,278,-158
2021-12-06,240,-38
2021-12-07,466,226
2021-12-08,450,-16
2021-12-09,465,15
2021-12-10,442,-23
2021-12-11,446,4
2021-12-12,238,-208
2021-12-13,188,-50
2021-12-14,387,199
2021-12-15,356,-31
2021-12-16,355,-1
2021-12-17,328,-27
2021-12-18,288,-40
2021-12-19,176,-112
2021-12-20,157,-19
2021-12-21,346,189
2021-12-22,301,-45
2021-12-23,275,-26
2021-12-24,248,-27
2021-12-25,268,20
2021-12-26,138,-130
2021-12-27,133,-5
2021-12-28,134,1
2021-12-29,307,173
2021-12-30,278,-29
2021-12-31,209,-69
2022-01-01,190,-19
2022-01-02,98,-92
2022-01-03,114,16
2022-01-04,135,21
2022-01-05,273,138
2022-01-06,187,-86
2022-01-07,192,5
2022-01-08,76,-116
2022-01-09,75,-1
2022-01-10,86,11
2022-01-11,219,133
2022-01-12,193,-26
2022-01-13,191,-2
2022-01-14,140,-51
2022-01-15,127,-13
2022-01-16,88,-39
2022-01-17,78,-10
2022-01-18,188,110
2022-01-19,163,-25
2022-01-20,131,-32
2022-01-21,150,19
2022-01-22,136,-14
2022-01-23,86,-50
2022-01-24,67,-19
2022-01-25,161,94
2022-01-26,141,-20
2022-01-27,154,13
2022-01-28,144,-10
2022-01-29,149,5
2022-01-30,94,-55
2022-01-31,78,-16
2022-02-01,192,114
2022-02-02,204,12
2022-02-03,210,6
2022-02-04,174,-36
2022-02-05,185,11
2022-02-06,109,-76
2022-02-07,115,6
2022-02-08,255,140
2022-02-09,240,-15
2022-02-10,280,40
2022-02-11,236,-44
2022-02-12,265,29
2022-02-13,140,-125
2022-02-14,142,2
2022-02-15,305,163
2022-02-16,310,5
2022-02-17,259,-51
2022-02-18,282,23
2022-02-19,260,-22
2022-02-20,152,-108
2022-02-21,127,-25
2022-02-22,287,160
2022-02-23,297,10
2022-02-24,276,-21
2022-02-25,159,-117
2022-02-26,122,-37
2022-02-27,95,-27
2022-02-28,67,-28
2022-03-01,181,114
2022-03-02,110,-71
2022-03-03,133,23
2022-03-04,113,-20
2022-03-05,98,-15
2022-03-06,56,-42
2022-03-07,40,-16
2022-03-08,60,20
2022-03-09,45,-15
2022-03-10,115,70
2022-03-11,86,-29
2022-03-12,99,13
2022-03-13,66,-33
2022-03-14,34,-32
2022-03-15,85,51
2022-03-16,71,-14
2022-03-17,72,1
2022-03-18,65,-7
2022-03-19,61,-4
2022-03-20,33,-28
2022-03-21,26,-7
2022-03-22,63,37
2022-03-23,64,1
2022-03-24,55,-9
2022-03-25,32,-23
2022-03-26,28,-4
2022-03-27,11,-17
2022-03-28,11,0
2022-03-29,33,22
2022-03-30,24,-9
2022-03-31,39,15
2022-04-01,23,-16
2022-04-02,27,4
2022-04-03,8,-19
2022-04-04,4,-4
2022-04-05,22,18
2022-04-06,35,13
2022-04-07,22,-13
2022-04-08,20,-2
2022-04-09,14,-6
2022-04-10,3,-11
2022-04-11,4,1
2022-04-12,28,24
2022-04-13,27,-1
2022-04-14,26,-1
2022-04-15,16,-10
2022-04-16,11,-5
2022-04-17,6,-5
2022-04-18,3,-3
2022-04-19,12,9
2022-04-20,18,6
2022-04-21,10,-8
2022-04-22,10,0
2022-04-23,12,2
2022-04-24,8,-4
2022-04-25,3,-5
2022-04-26,14,11
2022-04-27,16,2
2022-04-28,21,5
2022-04-29,11,-10
2022-04-30,16,5
2022-05-01,3,-13
2022-05-02,1,-2
2022-05-03,0,
2022-05-04,0,
2022-05-05,0,
2022-05-06,0,
2022-05-07,0,
2022-05-08,0,
2022-05-09,38,38
2022-05-10,0,
2022-05-11,0,
2022-05-12,0,
2022-05-13,0,
2022-05-14,0,
2022-05-15,0,
2022-05-16,48,48
2022-05-17,0,
2022-05-18,0,
2022-05-19,0,
2022-05-20,0,
2022-05-21,0,
2022-05-22,0,
2022-05-23,41,41
2022-05-24,0,
2022-05-25,0,
2022-05-26,0,
2022-05-27,0,
2022-05-28,0,
2022-05-29,0,
2022-05-30,31,31
2022-05-31,0,
2022-06-01,0,
2022-06-02,0,
2022-06-03,0,
2022-06-04,0,
2022-06-05,0,
2022-06-06,36,36
2022-06-07,0,
2022-06-08,0,
2022-06-09,0,
2022-06-10,0,
2022-06-11,0,
2022-06-12,0,
2022-06-13,17,17
2022-06-14,0,
2022-06-15,0,
2022-06-16,0,
2022-06-17,0,
2022-06-18,0,
2022-06-19,0,
2022-06-20,16,16
2022-06-21,0,
2022-06-22,0,
2022-06-23,0,
2022-06-24,0,
2022-06-25,0,
2022-06-26,0,
2022-06-27,18,18
2022-06-28,0,
2022-06-29,0,
2022-06-30,0,
2022-07-01,0,
2022-07-02,0,
2022-07-03,0,
2022-07-04,15,15
2022-07-05,0,
2022-07-06,0,
2022-07-07,0,
2022-07-08,0,
2022-07-09,0,
2022-07-10,0,
2022-07-11,19,19
2022-07-12,0,
2022-07-13,0,
2022-07-14,0,
2022-07-15,0,
2022-07-16,0,
2022-07-17,0,
2022-07-18,9,9
2022-07-19,0,
2022-07-20,0,
2022-07-21,0,
2022-07-22,0,
2022-07-23,0,
2022-07-24,0,
2022-07-25,14,14
2022-07-26,0,
2022-07-27,0,
2022-07-28,0,
2022-07-29,0,
2022-07-30,0,
2022-07-31,0,
2022-08-01,14,14
2022-08-02,0,
2022-08-03,0,
2022-08-04,0,
2022-08-05,0,
2022-08-06,0,
2022-08-07,0,
2022-08-08,16,16
2022-08-09,0,
2022-08-10,0,
2022-08-11,0,
2022-08-12,0,
2022-08-13,0,
2022-08-14,0,
2022-08-15,37,37
2022-08-16,0,
2022-08-17,0,
2022-08-18,0,
2022-08-19,0,
2022-08-20,0,
2022-08-21,0,
2022-08-22,23,23
2022-08-23,0,
2022-08-24,0,
2022-08-25,0,
2022-08-26,0,
2022-08-27,0,
2022-08-28,0,
2022-08-29,38,38
2022-08-30,0,
2022-08-31,0,
2022-09-01,0,
2022-09-02,0,
2022-09-03,0,
2022-09-04,0,
2022-09-05,44,44
2022-09-06,0,
2022-09-07,0,
2022-09-08,0,
2022-09-09,0,
2022-09-10,0,
2022-09-11,0,
2022-09-12,70,70
2022-09-13,0,
2022-09-14,0,
2022-09-15,0,
2022-09-16,0,
2022-09-17,0,
2022-09-18,0,
2022-09-19,90,90
2022-09-20,0,
2022-09-21,0,
2022-09-22,0,
2022-09-23,0,
2022-09-24,0,
2022-09-25,0,
2022-09-26,0,
2022-09-27,0,
2022-09-28,161,161
2022-09-29,0,
2022-09-30,0,
2022-10-01,0,
2022-10-02,0,
2022-10-03,0,
2022-10-04,0,
2022-10-05,202,202
2022-10-06,0,
2022-10-07,0,
2022-10-08,0,
2022-10-09,0,
2022-10-10,0,
2022-10-11,0,
2022-10-12,208,208
2022-10-13,0,
2022-10-14,0,
2022-10-15,0,
2022-10-16,0,
2022-10-17,0,
2022-10-18,0,
2022-10-19,0,
2022-10-20,203,203
2022-10-21,0,
2022-10-22,0,
2022-10-23,0,
2022-10-24,0,
2022-10-25,0,
2022-10-26,189,189
2022-10-27,0,
2022-10-28,0,
2022-10-29,0,
2022-10-30,0,
2022-10-31,0,
2022-11-01,0,
2022-11-02,179,179
2022-11-03,0,
2022-11-04,0,
2022-11-05,0,
2022-11-06,0,
2022-11-07,0,
2022-11-08,0,
2022-11-09,0,
2022-11-10,114,114
2022-11-11,0,
2022-11-12,0,
2022-11-13,0,
2022-11-14,0,
2022-11-15,0,
2022-11-16,103,103
2022-11-17,0,
2022-11-18,0,
2022-11-19,0,
2022-11-20,0,
2022-11-21,0,
2022-11-22,0,
2022-11-23,102,102
2022-11-24,0,
2022-11-25,0,
2022-11-26,0,
2022-11-27,0,
2022-11-28,0,
2022-11-29,0,
2022-11-30,80,80
2022-12-01,0,
2022-12-02,0,
2022-12-03,0,
2022-12-04,0,
2022-12-05,0,
2022-12-06,0,
2022-12-07,54,54
2022-12-08,0,
2022-12-09,0,
2022-12-10,0,
2022-12-11,0,
2022-12-12,0,
2022-12-13,0,
2022-12-14,56,56
2022-12-15,0,
2022-12-16,0,
2022-12-17,0,
2022-12-18,0,
2022-12-19,0,
2022-12-20,0,
2022-12-21,70,70
2022-12-22,0,
2022-12-23,0,
2022-12-24,0,
2022-12-25,0,
2022-12-26,0,
2022-12-27,0,
2022-12-28,47,47
2022-12-29,0,
2022-12-30,0,
2022-12-31,0,
2023-01-01,0,
2023-01-02,0,
2023-01-03,0,
2023-01-04,46,46
2023-01-05,0,
2023-01-06,0,
2023-01-07,0,
2023-01-08,0,
2023-01-09,0,
2023-01-10,0,
2023-01-11,61,61
2023-01-12,0,
2023-01-13,0,
